rho,exact,neumann8,neumann16,neumann32
0.5,1.8264987755302382e-16,0.011793135191000281,4.998396063526377e-05,7.553643594530799e-10
0.9,5.145384461557659e-16,0.6694510805113864,0.30596004907981733,0.05630518010217375
0.99,1.6439296472741105e-14,0.9741242565329463,0.9068475609186627,0.771341187894034
0.999,1.073346053470098e-12,0.9975178935508878,0.9904707442332294,0.9746359129567539
