solve_reach_K,test_mse
1,0.298389583727944
2,0.2565392965956686
4,0.21465790594645529
8,0.16265566304646015
16,0.10565225220998008
32,0.05226929982320635
exact,1.1579260956328746e-05
predict_mean,0.02596464424967863
