n,samples,tree_fwdbwd_s,tree_batched_fwdbwd_s,dense_fwdbwd_s,grad_err_vs_dense,grad_err_batched_vs_loop,speedup,batched_speedup_vs_loop
127,16,0.1423995399964042,0.011918320006225258,0.02633540000533685,2.2311041902867146e-12,1.9895196601282805e-13,0.1849402042029199,11.94795406752169
255,16,0.29036507999990135,0.014143679989501834,0.08003803332879518,2.5011104298755527e-12,2.3447910280083306e-13,0.2756462083141071,20.529669804140454
511,16,0.6162534400005825,0.018772879999596627,0.33465736667858437,5.9543481256696396e-12,2.2737367544323206e-13,0.5430515189956069,32.82679269317355
