seed,L,b,device,num_threads,time_median_s,time_iqr_s,dense_inv_time_s,dense_chol_time_s,kappa,forward_normwise,forward_componentwise,forward_worst_block,factorization_residual,selected_inverse_residual,peak_rss_bytes_noisy,precision_name
0,4,8,cpu,1,0.0005680999995092862,1.0455000665388135e-05,4.8900999972829594e-05,3.71580000501126e-05,50.75372845703555,4.970039381243348e-16,4.249073817258526e-14,9.819063081990744e-16,3.552713678800501e-15,1.4432899320127035e-15,0,fp64
1,4,8,cpu,1,0.0006379300000844523,3.5927501085097945e-05,5.302100005792454e-05,3.7671000027330594e-05,63.80637867588558,7.663822137561297e-16,1.8573263060174175e-12,1.2134300613632375e-15,7.105427357601002e-15,2.220446049250313e-15,0,fp64
2,4,8,cpu,1,0.0005773099997895769,2.9035000625299246e-05,4.8632000107318164e-05,3.656900007626973e-05,54.47587442346595,5.371316813736459e-16,8.056724383916293e-14,1.0675697372128861e-15,3.552713678800501e-15,1.7763568394002505e-15,0,fp64
0,8,8,cpu,1,0.0012200999990454875,8.037500447244383e-05,9.766500006662682e-05,9.468000062042847e-05,61.400458468765066,8.089156440614243e-16,2.904146775232266e-13,1.4263576847576958e-15,7.105427357601002e-15,1.915134717478395e-15,0,fp64
1,8,8,cpu,1,0.0011969999904977158,6.222499359864742e-05,0.00010066000104416161,9.719000008772126e-05,69.26242841577545,9.302603725696215e-16,3.152420850053978e-13,1.9085916531433356e-15,7.105427357601002e-15,1.7763568394002505e-15,0,fp64
2,8,8,cpu,1,0.0012138000020058826,5.7999990531243384e-05,9.828499969444238e-05,9.906399995088578e-05,55.68923582470481,8.677321410097726e-16,4.777581110707974e-13,2.1412914986559004e-15,7.105427357601002e-15,1.7763568394002505e-15,0,fp64
0,16,8,cpu,1,0.0024670999991940334,0.00013639999087899923,0.00040305000002263116,0.000423634998878697,69.64154585433623,8.348855547869407e-16,7.316976726285934e-13,1.7139537857538825e-15,7.105427357601002e-15,2.220446049250313e-15,0,fp64
1,16,8,cpu,1,0.0024778500010143034,0.00014717500016558915,0.00040446000057272615,0.00042401000027894045,75.31523450465981,7.854435395925167e-16,2.6488238064385656e-11,1.8011011927414153e-15,7.105427357601002e-15,1.7763568394002505e-15,0,fp64
2,16,8,cpu,1,0.0024967500066850334,0.0001762000101734884,0.00040137000032700596,0.00042932500000461007,60.89576922159835,7.057743835214234e-16,1.513884016089579e-12,1.3441716392671758e-15,7.105427357601002e-15,2.220446049250313e-15,0,fp64
0,32,8,cpu,1,0.004982499995094258,0.00024524999389541335,0.002039099999819882,0.0020748999959323555,64.19927058954019,8.797863757522484e-16,1.9028530203053605e-12,1.7011251054830312e-15,7.105427357601002e-15,2.4424906541753444e-15,0,fp64
1,32,8,cpu,1,0.005272800000966527,0.00022829999215900898,0.0021023000008426607,0.00202240000362508,65.70890372330075,8.450967032341284e-16,1.7348311530773569e-12,1.9111554593718164e-15,7.105427357601002e-15,1.7763568394002505e-15,0,fp64
2,32,8,cpu,1,0.004929999995511025,7.480000203941017e-05,0.0020524999999906868,0.002059000005829148,60.88164066130255,7.364588131214314e-16,7.574368230377259e-13,1.431297414049929e-15,1.0658141036401503e-14,1.5543122344752192e-15,0,fp64
0,64,8,cpu,1,0.010154099996725563,0.0005320750024111476,0.014550099993357435,0.013498300002538599,73.67113895414894,7.772953088149405e-16,1.1735222147334907e-11,2.779166067483993e-15,7.105427357601002e-15,1.9984014443252818e-15,0,fp64
1,64,8,cpu,1,0.00985634999233298,0.000542099995072931,0.014871499995933846,0.01281445000495296,64.4321649553828,7.876449098214845e-16,4.0053008891259074e-10,1.882227317510069e-15,7.105427357601002e-15,2.886579864025407e-15,0,fp64
2,64,8,cpu,1,0.009858450008323416,0.0003338250062370207,0.014080900000408292,0.013234350000857376,63.79777931833044,8.592692610223679e-16,2.0552096952356415e-11,2.5306994824770216e-15,1.0658141036401503e-14,1.9984014443252818e-15,0,fp64
0,128,8,cpu,1,0.020509600013610907,0.0002199000009568408,,,93.67899929844427,7.959942744260097e-16,1.9232677313352205e-12,1.847890538218761e-15,1.0658141036401503e-14,3.3861802251067274e-15,0,fp64
1,128,8,cpu,1,0.020608499995432794,0.00045960000716149807,,,79.31453177164629,9.735536197723676e-16,2.3031450075843566e-10,2.6728851178043236e-15,1.0658141036401503e-14,2.275957200481571e-15,0,fp64
2,128,8,cpu,1,0.020395200001075864,0.00030899999546818435,,,73.84203362178748,8.151506010675085e-16,3.2710935547997833e-12,2.0668842207602385e-15,7.105427357601002e-15,2.4424906541753444e-15,0,fp64
0,256,8,cpu,1,0.041244299995014444,0.0015310500020859763,,,77.19239745372224,8.718411702626703e-16,1.1634974856502403e-10,2.3484742001035353e-15,1.0658141036401503e-14,2.6645352591003757e-15,0,fp64
1,256,8,cpu,1,0.03953690000344068,0.00045745000534225255,,,76.28143735327447,8.718438393078689e-16,4.865286141376708e-12,2.6847265151458596e-15,1.0658141036401503e-14,2.6645352591003757e-15,0,fp64
2,256,8,cpu,1,0.04032230000302661,0.0007733000020380132,,,71.04942097465555,8.552795408801879e-16,6.180193524602253e-12,2.7183144574043433e-15,7.105427357601002e-15,3.1086244689504383e-15,0,fp64
